ekimei,lat,lng,iido,ikeido
shinkanaya,34.826117,138.137065,320,2916
daikantyo,34.835491,138.126132,320,2754
higiri,34.839012,138.122394,320,2589
goka,34.845445,138.120563,320,2427
kamio,34.883281,138.101601,320,2261
fukuyo,34.901339,138.089558,320,2096
owada,34.921104,138.08215,320,1934
ieyama,34.940696,138.077817,320,1769
nukuri,34.953336,138.087669,320,1601
kawaneonsensasamado,34.962291,138.086114,320,1442
jina,34.986027,138.087266,320,1279
siogo,34.997664,138.090612,320,1112
simoizumi,35.022064,138.090078,320,948
tanoguti,35.051286,138.095443,320,785
surugatokuyama,35.074775,138.110536,320,624
aobe,35.089573,138.115501,320,458
sakidaira,35.091825,138.127459,320,292
senzu,35.107774,138.136577,320,130
